GEOID,X,Y
17031500200,-87.60030207,41.70085594
17031670400,-87.67176978,41.79029968
17031250700,-87.76081004,41.90582128
17031480500,-87.55905011,41.72755037
17031161200,-87.73857007,41.94254896
17031210900,-87.69333664,41.93543908
17031611400,-87.67216362,41.80489009
17031040401,-87.68608163,41.97206674
17031840700,-87.69426643,41.85293023
17031222600,-87.70447972,41.91563877
17031170500,-87.82889594,41.950078000000005
17031430300,-87.58935357,41.76969116
17031110200,-87.77344432,41.98006991
17031831700,-87.74525515,41.95265085
17031051200,-87.67595179999999,41.94142113
17031490600,-87.62833237,41.71795138
17031720700,-87.66513879,41.7031071
17031835800,-87.6187192,41.81304625
17031061100,-87.65680349,41.94913976
17031150600,-87.77175783,41.949473100000006
17031390100,-87.59063028,41.81384338
17031100700,-87.79762951,41.97212346
17031560400,-87.74057679,41.80400854
17031250600,-87.77063031,41.90569349
17031283100,-87.66404577,41.86927360000001
17031100500,-87.8197322,41.97805995
17031170400,-87.81271068,41.94890811
17031351100,-87.61419975,41.82774689
17031040700,-87.6940853,41.96680564
17031837400,-87.69380128,41.87597471
17031030601,-87.65493608,41.98888631
17031320600,-87.61688171,41.87113738
17031070600,-87.66567662,41.92876278
17031030101,-87.65466774,41.99127066
17031830500,-87.72395087,41.83006543
17031230300,-87.71498894,41.91181732
17031570300,-87.73079091,41.80414486
17031110300,-87.78323489,41.97529087
17031843300,-87.69255031,41.86376385
17031420500,-87.60842613,41.78310025
17031420200,-87.59351596,41.78345824
17031681100,-87.64935956,41.76876653
17031160900,-87.72260823,41.95008208
17031271300,-87.70845279,41.87730403
17031241600,-87.66532774,41.90670971
17031081401,-87.61975202,41.89503905
17031230600,-87.73399513,41.90618899
17031320100,-87.62093224,41.88504648
17031530100,-87.61793948,41.68185228
17031842600,-87.65169496,41.81621859
17031510100,-87.5498631,41.71311784
17031301802,-87.72775915,41.84518463
17031050500,-87.68350728,41.95044743
17031100100,-87.78303356,41.98958058
17031611600,-87.67674266,41.79759556
17031611300,-87.66730386,41.80493627
17031460700,-87.54928133,41.73558004
17031020701,-87.70368969,41.98689156
17031170600,-87.83070174,41.94129425
17031590600,-87.67292546,41.8268329
17031100200,-87.7942459,41.99561637
17031301701,-87.71962539,41.84248053
17031700200,-87.72382218,41.75299025
17031300600,-87.71733432,41.84799051
17031063200,-87.6346427,41.93916546
17031071200,-87.64621065,41.92185478
17031081402,-87.60892085,41.89297495
17031190402,-87.77123177,41.93485964
17031580501,-87.69949615,41.81998599
17031838100,-87.67168055,41.87866521
17031671600,-87.66151183,41.76949991
17031060200,-87.67151747,41.9579037
17031283200,-87.65919905,41.86957259
17031280900,-87.68512815,41.87863093
17031310200,-87.64420924,41.85630857
17031291200,-87.71287459,41.862661200000005
17031430700,-87.55923220000001,41.76514324
17031242100,-87.66983747,41.8996699
17031390400,-87.60405819,41.80592436
17031010501,-87.66395812,42.00941175
17031200200,-87.73562827,41.92785227
17031630800,-87.69857245,41.78996524
17031671500,-87.669632,41.76817215
17031243200,-87.66962378,41.89243277
17031171000,-87.79652374,41.94180712
17031210700,-87.70384008,41.935702899999995
17031470100,-87.59648963,41.72822087
17031510300,-87.57497259,41.7157378
17031050800,-87.68092794,41.94500948
17031060100,-87.66661125,41.95753113
17031690500,-87.61210856,41.76816566
17031530300,-87.65175241,41.68131428
17031671800,-87.65644808,41.76140103
17031251200,-87.76060396,41.898549100000004
17031630900,-87.7083655,41.78981146
17031670800,-87.66187901,41.78314423
17031460200,-87.54701103,41.74138682
17031400300,-87.61318355,41.79310403
17031835000,-87.68604923,41.78284948
17031838000,-87.68065013,41.87736429
17031660600,-87.69334058,41.77728716
17031330100,-87.61529452,41.85938992
17031090100,-87.81358472,42.01525513
17031031700,-87.66319544,41.96544662
17031140301,-87.7231695,41.96920552
17031611200,-87.66244137,41.80499399
