GEOID,X,Y
17031530100,-87.61793948,41.68185228
17031720100,-87.67472719,41.72759441
17031161200,-87.73857007,41.94254896
17031837400,-87.69380128,41.87597471
17031420400,-87.60355836,41.7831699
17031560800,-87.77216592,41.79620554
17031730100,-87.63842562,41.72517711
17031170100,-87.79481664,41.95585952
17031837800,-87.68412740000001,41.8847501
17031050900,-87.685778,41.94494656
17031252102,-87.75981157,41.87659229
17031301600,-87.71225204,41.84075722
17031240900,-87.70188366,41.90474216
17031400500,-87.62317914,41.79104146
17031071000,-87.65591141,41.92170117
17031570500,-87.73245522,41.79860147
17031839500,-87.61928952,41.83409742
17031840200,-87.64919147,41.84457483
17031110502,-87.75985036,41.97028661
17031711300,-87.66728555,41.73350443
17031842100,-87.73361034,41.89527866
17031750100,-87.6520283,41.69583447
17031460600,-87.55951425,41.73563266
17031040201,-87.69400052,41.97258048
17031390300,-87.6042089,41.81320062
17031833100,-87.65704539,41.87907673
17031480200,-87.58988412,41.73512373
17031190402,-87.77123177,41.93485964
17031271500,-87.71315591,41.87178613
17031670900,-87.65702201,41.78321242
17031110100,-87.76969498,41.98748337
17031841500,-87.70791321,41.86162254
17031560900,-87.79165138,41.79577007
17031841400,-87.71441061,41.85330987
17031690400,-87.62020836,41.76925853
17031670700,-87.66673146,41.78306862
17031833900,-87.54779926,41.73186479
17031840800,-87.70737101,41.84083297
17031530400,-87.6515267,41.6740396
17031251900,-87.76010396,41.88381954
17031711100,-87.65830015,41.73950164
17031161000,-87.73068293,41.94997670000001
17031660500,-87.70794319,41.77524343
17031292500,-87.73224294,41.85516107
17031410100,-87.57932265,41.80149666
17031231200,-87.72131534,41.8990614
17031350400,-87.62836949,41.84192912
17031100400,-87.81804190000001,41.98896763
17031230400,-87.72153969,41.91183196
17031410600,-87.59894514,41.79797102
17031840700,-87.69426643,41.85293023
17031836800,-87.71386248,41.88504484
17031070200,-87.64629299,41.9290778
17031710800,-87.6488126,41.74783672
17031730202,-87.64854152,41.72641156
17031611400,-87.67216362,41.80489009
17031151002,-87.74715538,41.94249177
17031020801,-87.69441487,41.98680817
17031040100,-87.68199337,41.98333066
17031380200,-87.61498606,41.82057401
17031671200,-87.66658225,41.77669928
17031081700,-87.63186815,41.89206688
17031611600,-87.67674266,41.79759556
17031281900,-87.64262363,41.87924795
17031010702,-87.67272572,42.00902
17031830800,-87.67657750000001,41.96514133
17031080300,-87.63579865,41.90749003
17031060400,-87.66653643,41.95067322
17031280800,-87.68890088,41.87859679
17031081000,-87.63210893,41.90026557
17031031900,-87.67018406,41.96337401
17031280400,-87.67188449,41.88600965
17031300700,-87.71245041,41.84807209
17031710200,-87.65142767,41.75511212
17031612000,-87.65253589,41.7978467
17031831200,-87.73225034,41.915318799999994
17031838800,-87.57231915,41.6835098
17031070102,-87.64220207,41.93058288
17031570200,-87.73071452,41.81438035
17031839200,-87.62203596,41.8420107
17031832000,-87.65429816,41.94629408
17031420500,-87.60842613,41.78310025
17031221500,-87.68995135,41.92164689
17031062100,-87.65177037,41.94269147
17031834700,-87.64503336,41.7906903
17031630500,-87.68901652,41.79742743
17031839700,-87.65235714,41.83307982
17031260700,-87.72799576,41.87705644
17031301803,-87.72787083,41.83954972
17031670600,-87.6715772,41.78300551
17031261000,-87.73200936,41.87133782
17031838000,-87.68065013,41.87736429
17031570400,-87.71913039,41.8049921
17031840100,-87.6392003,41.84186808
17031390100,-87.59063028,41.81384338
17031040202,-87.69409602,41.97985491
17031330200,-87.63053543,41.86134135
17031250200,-87.75107299,41.91235085
17031681300,-87.63986215,41.76117339
17031450300,-87.57908940000002,41.74194386
17031430900,-87.58118514,41.76064096
17031720300,-87.67714513,41.71390274
17031280900,-87.68512815,41.87863093
17031730600,-87.6504857,41.71060032
17031240200,-87.67018162,41.91244167
17031834400,-87.59630964,41.77694481
17031580600,-87.69203145,41.81739795
17031200402,-87.72967896,41.91963483
17031210700,-87.70384008,41.935702899999995
17031630800,-87.69857245,41.78996524
17031843000,-87.7227523,41.86793481
17031061100,-87.65680349,41.94913976
17031050200,-87.68371678,41.95774057
17031610800,-87.6384084,41.81270788
17031520100,-87.53049652,41.72033192
17031070101,-87.63255808,41.93046402
17031010503,-87.66312691,42.00032005
17031460100,-87.53574259,41.74615673
17031230700,-87.72153989,41.90634002
17031300800,-87.7075818,41.84811086
17031351500,-87.62774624,41.82727424
17031580800,-87.68664386,41.81021951
17031190601,-87.78046061,41.92741462
17031222700,-87.71019138,41.91549085
17031710600,-87.66094336,41.74766007
17031070103,-87.64260515,41.92681098
17031241500,-87.67093749,41.90837594
17031160700,-87.70198329,41.950419000000004
17031611500,-87.67865528,41.80544831
17031650200,-87.73022645,41.78222236
17031260600,-87.73286665,41.87710779
17031461000,-87.54652790000002,41.72740532
17031242600,-87.69419702,41.90056013
17031040700,-87.6940853,41.96680564
17031170700,-87.82216415,41.941486700000006
17031210900,-87.69333664,41.93543908
17031242500,-87.68931911,41.89944553
17031271400,-87.71333137,41.87724293
17031560400,-87.74057679,41.80400854
17031062900,-87.65641126,41.93623705
17031550200,-87.56401006,41.65342929999999
17031230300,-87.71498894,41.91181732
17031030102,-87.65513191,41.99339666
17031062800,-87.6612648,41.93615871
17031671600,-87.66151183,41.76949991
17031836500,-87.60063789,41.82827699
17031837000,-87.69867388,41.87832338
17031050600,-87.67618131,41.95054669
17031081800,-87.63779551,41.89325553
17031250600,-87.77063031,41.90569349
17031490500,-87.61320678,41.71792753
17031660301,-87.69828723,41.77995405
17031050300,-87.69151856,41.9576781
17031020400,-87.68591265,42.00848694
17031250300,-87.76083844,41.91283913
17031222900,-87.72007441,41.91556435
17031760802,-87.84721687,41.95783215
17031030701,-87.65796586,41.98274529
17031711400,-87.65212358,41.73365708
17031030702,-87.6548217,41.980689399999996
17031160200,-87.73840199,41.95879098
17031140702,-87.71357531,41.96354821
17031831900,-87.66879065,41.94516902
17031250700,-87.76081004,41.90582128
17031836900,-87.70613618,41.88188305
17031221000,-87.71525256,41.92096043
17031090200,-87.81322391,42.00559846
17031140601,-87.72589087,41.96464719
17031231100,-87.71506836,41.89925425
17031251400,-87.77012958,41.89099818
17031230500,-87.73394928,41.91172353
17031610300,-87.67510199,41.8161778
17031841000,-87.61738686,41.84844846
17031411200,-87.59401723,41.79055575
17031081100,-87.62910901,41.90020657
17031190200,-87.75164893,41.93511367
17031561100,-87.77190985,41.78886976
17031310700,-87.66490612,41.85599034
17031071400,-87.62940598,41.92215308
17031100200,-87.7942459,41.99561637
17031222600,-87.70447972,41.91563877
17031081300,-87.62075315,41.8983354
17031240500,-87.68363652,41.91197004
17031510300,-87.57497259,41.7157378
17031291200,-87.71287459,41.862661200000005
17031840300,-87.68188201,41.832094399999995
17031411000,-87.57687325,41.79071573
17031210400,-87.73029812,41.93575814
17031832200,-87.67997294,41.92047802
17031310200,-87.64420924,41.85630857
17031700501,-87.69034221,41.74621313
17031550100,-87.53532981,41.66503284
17031070500,-87.66089222,41.92894553
17031410200,-87.5942678,41.80166753
17031520600,-87.54040381,41.6895295
17031150600,-87.77175783,41.949473100000006
17031570100,-87.71891319,41.81620064
17031700302,-87.73130642,41.73836512
17031150501,-87.78196383,41.96447628
17031530300,-87.65175241,41.68131428
17031051100,-87.68082664,41.94136518
