GEOID,X,Y,walk_time
170070104001006,-87.66053955,42.00508705,1743.5257750744652
170311004003009,-87.81940562,41.98544877,15182.109614782094
170310103003000,-87.66307531,42.01424501,2004.94059981825
170310104001002,-87.66071083,42.00615729,1075.1553099985656
170310306011000,-87.65642166,41.98871361,907.1913702857886
170310306011001,-87.65712151,41.98869968,970.6863420766389
170310306013003,-87.65497192,41.987640999999996,1082.4888378012513
170310306041002,-87.65558649,41.9846316,1295.523194740944
170310307021000,-87.65476167,41.98028402,1755.6389056025666
170310311001003,-87.66227518,41.97498653,2649.0020748094694
170310311002002,-87.66155045,41.97082651,2954.5915304515884
170310314006005,-87.64840433,41.96148292,3993.6316178350216
170310608003001,-87.64726459,41.95374057,4783.746294635333
170310609004002,-87.64359549,41.94804473,5616.813347700933
170310609004005,-87.64367903,41.94689357,5711.784489767765
170310701032002,-87.64316685,41.92702926,7524.394338426978
170310801003000,-87.62634123,41.90732237,10774.178154100326
170310812021010,-87.62183817,41.90046036,11785.168654068237
170310818001016,-87.63918946,41.89332428,10876.46503278137
170312801001038,-87.64687764,41.88249891,11155.53672231712
170313201001015,-87.62578757,41.8838583,12910.69793451512
170313201003008,-87.61950825,41.88645105,13238.640239091714
170313201004018,-87.61616763,41.88514554,13651.9411067151
170318306002011,-87.67146872,42.00331548,1779.3376579279982
170310205001000,-87.67826313,41.99906319,2743.2713545012957
170310205001001,-87.67967551,41.99904937,2618.861133215661
170310205003004,-87.68119847,42.00289373,2141.406130273564
170310208024004,-87.69137358,41.99657124,2064.5606508046053
170310301041001,-87.65514926,41.99726628,4959.233238308833
170317608033000,-87.84026769,41.97639922,17103.997389548553
170310306041002,-87.65558649,41.9846316,4657.475115056358
170310306042001,-87.65289835,41.98568461,4802.929643380162
170310307021000,-87.65476167,41.98028402,5117.590825917981
170310307022000,-87.65491446,41.98148518,4997.148929173468
170310313001007,-87.65170977,41.97391111,1759.7744673151913
170310307062002,-87.65619009999998,41.98094744,1898.0804961918568
170310209011013,-87.68555152,41.99621172,2756.4955447360776
170310306013002,-87.65570781,41.98872429,4745.219476453229
170310313001007,-87.65170977,41.97391111,4033.6235403729897
170310404014000,-87.68265737,41.97143466,1500.9455917838786
170311302001019,-87.73339529,41.97930147,3712.2933309160007
170311303001006,-87.71104613,41.98440513,2178.2036449562574
170312506004007,-87.77157208,41.90658408,12868.455426662113
170310321004000,-87.65128244,41.95785788,2480.104987271563
170310507001013,-87.6737646,41.94417932,1003.5751327000294
170310633022000,-87.64044719,41.93489356,4793.380223080524
170310701023000,-87.64252304,41.93134601,4924.296681915055
170310608001000,-87.64861955,41.95355732,2514.73375610631
170310306013002,-87.65570781,41.98872429,5896.768369734347
170310321003005,-87.65503776,41.95618976,2009.3741639330235
170310609004000,-87.64532402,41.94924097,1692.426813703855
170310609004002,-87.64359549,41.94804473,1739.777171707609
170310609004005,-87.64367903,41.94689357,1629.9432709647522
170310619014002,-87.64310319,41.94061118,1122.311744049376
170310715003011,-87.63620882,41.91744109,3112.4963323230604
170310804001010,-87.63906850000002,41.90690926,3794.979657485164
170312604001032,-87.73677649,41.88290254,10667.373203158952
170310706001007,-87.66469644,41.93038568,2090.477074749755
170310714002005,-87.63687169,41.92111609,1209.2848574325365
170310813001001,-87.62100719,41.89818437,4660.439127021628
170310814022001,-87.61612275,41.89305283,5551.420056120196
170313201004007,-87.61568649,41.88671992,6153.577945396318
170310634001002,-87.64724107,41.93424751,3957.174804406683
170310814022001,-87.61612275,41.89305283,1851.3697314078838
170310314001001,-87.64831341,41.96015139,6827.797263612861
170310631001001,-87.64596373,41.93723375,4580.1190284894055
170310715003011,-87.63620882,41.91744109,1951.687125548321
170310815001004,-87.62744637,41.89368268,941.236588145259
170310301021002,-87.6550225,41.99302645,10880.661084534038
170310313001007,-87.65170977,41.97391111,8885.551005790488
170310608003000,-87.64589657,41.95423583,6618.199274686085
170310201002001,-87.68581906,42.01698809,15844.646349225462
170310315021007,-87.65355445,41.96247314,8125.088902468106
170310608001000,-87.64861955,41.95355732,6892.9850669692205
170310609004000,-87.64532402,41.94924097,6215.86311638694
170310610001000,-87.6508083,41.95063706,6827.912906336026
170310619014002,-87.64310319,41.94061118,5250.636000428612
170310619023012,-87.64110995,41.94378052,5355.257083009499
170310701013012,-87.64106701,41.93169795,4276.62092702747
170310715001007,-87.63574704,41.91240958,2087.5628781119517
170310803002000,-87.63377084,41.90480408,1235.2137352073403
170310803004000,-87.63393491,41.90934902,1654.1081524220574
170310810004002,-87.63341787,41.90262874,1010.3055392199939
170310814031027,-87.61908955,41.88914532,1463.7139721064113
170310701021001,-87.64194744,41.9295513,4092.8601912521567
170318435001023,-87.69756609,41.84098347,11512.846051799776
170310814033000,-87.61859107,41.89222827,1439.95917753837
170310106001009,-87.66887334,42.00571073,13590.758989398304
170310301032005,-87.65501683,41.99437183,11349.47757601383
170310306011000,-87.65642166,41.98871361,10971.113264782321
170310306013002,-87.65570781,41.98872429,10908.56211552665
170310306032000,-87.65705104,41.98641137,10822.302428792458
170310306032001,-87.65775103,41.986401,10883.648225042805
170310306032002,-87.65845128,41.98638821,10944.801876459183
170310306041002,-87.65558649,41.9846316,10533.700889263886
170310306042001,-87.65289835,41.98568461,10388.24636094008
170310312001003,-87.65730269,41.97029985,9411.472763798676
170310312003007,-87.65811081,41.97424919,9834.677096370253
170310313002000,-87.65158198,41.97291818,9135.497630580343
170310314002000,-87.64728476,41.9576812,7397.814481732645
170310315023000,-87.65119719,41.96499079,8396.079834295497
170310321004000,-87.65128244,41.95785788,7769.148604922431
170310608001000,-87.64861955,41.95355732,7149.708355368563
170310608003000,-87.64589657,41.95423583,6967.840602026847
170310608003001,-87.64726459,41.95374057,7045.477789369493
170310608003004,-87.64661140000004,41.9524391,6871.599169120374
170310609001005,-87.6466995,41.94811716,6494.973946536947
170310609003000,-87.64626638,41.95143516,6751.601162519935
170310609004001,-87.64420095,41.94904021,6354.823860994031
170310609004002,-87.64359549,41.94804473,6212.410736303893
170310609005000,-87.64725157,41.94902432,6624.781124782507
170310619021001,-87.64017304,41.94041816,5229.5347615883475
170310619023008,-87.642248,41.94509707,5830.331624962235
170310631001000,-87.64647307,41.93828846,5600.51039233594
170310632006000,-87.64225017,41.93820505,5217.438532688598
170310633011001,-87.64207973,41.9338268,4812.805531986158
170310633023000,-87.63979055,41.93388042,4613.9391878183205
170310633024000,-87.64062871,41.93607582,4883.792373155695
170310634002003,-87.64554992,41.93520452,5244.055929448635
170310701012000,-87.64044122,41.92798402,4147.300337780082
170310701012003,-87.63963953,41.92623172,3920.1077532190957
170310701021001,-87.64194744,41.9295513,4420.70642341366
170310701021003,-87.64065795,41.92872674,4232.649115676316
170310701023000,-87.64252304,41.93134601,4631.559580673856
170310701031000,-87.64210299,41.92602613,4120.958704437553
170310701032001,-87.64341336,41.92773885,4389.8805210694045
170310713002000,-87.64266333,41.92463591,4047.135947859358
