w_geocode,h_geocode,S000,SA01,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,SA02,origin_lon,origin_lat,dest_lon,dest_lat
170318391001089,170312507005013,4,0,1,1,2,1,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76302287,41.90669556
170318391001089,170312511001000,5,0,1,0,5,0,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.74962535,41.90139638
170318391001089,170312511002009,4,0,1,1,2,1,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.74950879,41.89614445
170318391001089,170312512002003,4,0,0,0,1,3,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.75781500000001,41.89765408
170318391001089,170312512003006,4,0,1,0,0,4,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76216170000001,41.89647402
170318391001089,170312513001004,6,0,2,0,3,3,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.76895833,41.90118343
170318391001089,170312513003004,4,0,2,1,0,3,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.77136141,41.89726782
170318391001089,170312513005013,4,2,0,1,3,0,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.77378229,41.89677929
170318391001089,170312515004006,5,0,1,0,3,2,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.76476271,41.89019856
170318391001089,170312515004007,5,0,1,0,2,3,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.76384617,41.89020286
170318391001089,170312518004013,4,0,1,0,3,1,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.74656538,41.88213007
170318391001089,170312519003009,4,0,1,1,0,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.76297783,41.88629362
170318391001089,170312520003004,4,0,1,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.77297795,41.88334619
170318391001089,170312520003010,5,1,1,0,3,2,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.77256469,41.88186512
170318391001089,170312521011008,5,1,3,2,2,1,0,0,5,20190825,1.0,-87.63009501,41.879755200000005,-87.76586671,41.87856954
170318391001089,170312521011017,6,1,0,0,3,3,0,0,6,20190825,5.0,-87.63009501,41.879755200000005,-87.76928753,41.87864439
170318391001089,170312521011028,4,1,2,0,2,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.77093547,41.87861841
170318391001089,170312521021008,5,1,1,2,0,3,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.75964939,41.87728072
170318391001089,170312521021009,7,1,2,3,1,3,0,0,7,20190825,4.0,-87.63009501,41.879755200000005,-87.76323526,41.8772344
170318391001089,170312521022002,4,0,0,1,3,0,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.7596125,41.87637066
170318391001089,170312521022004,6,1,1,1,2,3,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.76318355,41.87587527
170318391001089,170312521023000,4,0,2,0,3,1,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.75596227,41.874241600000005
170318391001089,170312521023008,5,1,1,2,1,2,0,0,5,20190825,3.0,-87.63009501,41.879755200000005,-87.76275396,41.87359949
170318391001089,170312522011004,8,0,5,3,1,4,0,0,8,20190825,3.0,-87.63009501,41.879755200000005,-87.75146013,41.87965163
170318391001089,170312522013004,4,1,0,0,1,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.75130634,41.87557459
170318391001089,170312522022001,4,0,2,1,1,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.74759055,41.87834199
170318391001089,170312522022002,4,0,3,1,2,1,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.74756836,41.87788932
170318391001089,170312522022005,4,0,1,1,1,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.74755304,41.87743504
170318391001089,170312522024004,4,1,1,0,0,4,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.74762374,41.87924546
170318391001089,170312522025006,4,0,1,1,0,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.74746283,41.87517023
170318391001089,170312522025010,5,1,3,1,2,2,0,0,5,20190825,1.0,-87.63009501,41.879755200000005,-87.74740703,41.87381457
170318391001089,170312522025012,4,0,1,2,0,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.7474027,41.87333424
170318391001089,170312605001006,4,0,3,0,1,3,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.73929593,41.87885804
170318391001089,170312606002009,4,1,2,0,3,1,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.73163512,41.8758723
170318391001089,170312607001007,4,1,1,1,1,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.7268428,41.87907672
170318391001089,170312607002005,4,1,0,1,1,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.72921679,41.87681359
170318391001089,170312608002012,4,0,0,1,2,1,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.72425102,41.87505477
170318391001089,170312610001035,4,1,0,2,2,0,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.73395508,41.87223429
170318391001089,170312610002005,4,0,3,0,2,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.72657708,41.87240624
170318391001089,170312705001012,4,0,0,0,4,0,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.71814909,41.875983899999994
170318391001089,170312714001011,4,0,2,1,2,1,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.71420043,41.87802322
170318391001089,170312715001005,4,0,1,0,3,1,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.71197081,41.87248437
170318391001089,170312715001015,4,0,1,0,1,3,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.71431769,41.87041363
170318391001089,170312801001001,6,1,1,1,0,5,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.63951403,41.88638445
170318391001089,170312801001012,7,0,1,0,0,7,0,0,7,20190825,6.0,-87.63009501,41.879755200000005,-87.64038534,41.88733504
170318391001089,170312801001038,6,1,0,0,0,6,0,0,6,20190825,5.0,-87.63009501,41.879755200000005,-87.64687764,41.88249891
170318391001089,170312801002001,8,2,3,2,0,6,0,0,8,20190825,3.0,-87.63009501,41.879755200000005,-87.63943847,41.88508555
170318391001089,170312804001040,4,0,1,0,2,2,0,0,4,20190825,3.0,-87.63009501,41.879755200000005,-87.67590667,41.88362509
170318391001089,170312804001042,5,1,0,1,1,3,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.67119924,41.88370258
170318391001089,170312808001011,5,0,1,1,2,2,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.68735749999999,41.87817781
170318391001089,170312808001018,4,0,0,0,2,2,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.68719633,41.87663598
170318391001089,170312809001007,13,3,1,3,7,3,0,0,13,20190825,9.0,-87.63009501,41.879755200000005,-87.68508316,41.87683634
170318391001089,170312819001012,6,3,0,0,1,5,0,0,6,20190825,3.0,-87.63009501,41.879755200000005,-87.64484545,41.87858882
170318391001089,170312819001021,8,2,3,0,2,6,0,0,8,20190825,3.0,-87.63009501,41.879755200000005,-87.64361316,41.87735584
170318391001089,170312819002000,10,4,1,0,0,10,0,0,10,20190825,5.0,-87.63009501,41.879755200000005,-87.64188465,41.88155378
170318391001089,170312819003010,10,4,1,0,0,10,0,0,10,20190825,5.0,-87.63009501,41.879755200000005,-87.64337174,41.88118403
170318391001089,170312827001007,4,0,0,1,1,2,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.68761903,41.86955432
170318391001089,170312827001008,5,1,3,0,0,5,0,0,5,20190825,1.0,-87.63009501,41.879755200000005,-87.68760226,41.869098799999996
170318391001089,170312827001012,5,1,0,0,1,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.68729949,41.8679719
170318391001089,170312827002012,7,4,0,0,1,6,0,0,7,20190825,3.0,-87.63009501,41.879755200000005,-87.68763778,41.87424772
170318391001089,170312827002014,4,1,1,0,0,4,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.68852302,41.87363791
170318391001089,170312827002020,5,2,1,1,0,4,0,0,5,20190825,2.0,-87.63009501,41.879755200000005,-87.68650255,41.87252302
170318391001089,170312827002024,5,1,0,1,0,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.68951061,41.87298765
170318391001089,170312828001002,4,0,0,0,0,4,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.68466186,41.87219701
170318391001089,170312831001006,4,0,0,0,2,2,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.66281457,41.86751897
170318391001089,170312831001007,4,2,1,2,0,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.66283059,41.86833362
170318391001089,170312831002003,4,2,1,1,0,3,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.66381924,41.87071572
170318391001089,170312831002004,8,1,3,2,2,4,0,0,8,20190825,4.0,-87.63009501,41.879755200000005,-87.66531659,41.87055427
170318391001089,170312832001011,4,1,2,1,1,2,0,0,4,20190825,1.0,-87.63009501,41.879755200000005,-87.65855985,41.86853724
170318391001089,170312832001013,8,0,2,2,1,5,0,0,8,20190825,6.0,-87.63009501,41.879755200000005,-87.6603871,41.86837334
170318391001089,170312838001001,5,1,0,0,1,4,0,0,5,20190825,4.0,-87.63009501,41.879755200000005,-87.65508455,41.86659052
170318391001089,170312838001003,6,0,1,1,1,4,0,0,6,20190825,5.0,-87.63009501,41.879755200000005,-87.65557364,41.86572384
170318391001089,170312838002000,5,1,2,0,4,1,0,0,5,20190825,2.0,-87.63009501,41.879755200000005,-87.65385136,41.86404107
170318391001089,170312838002001,6,1,1,1,1,4,0,0,6,20190825,4.0,-87.63009501,41.879755200000005,-87.65525025,41.86300367
170318391001089,170312838002002,4,0,2,1,1,2,0,0,4,20190825,2.0,-87.63009501,41.879755200000005,-87.65239489,41.86298005
170318391001089,170312838002004,17,2,1,0,0,17,0,0,17,20190825,14.0,-87.63009501,41.879755200000005,-87.65535594,41.86207512
170318391001089,170312838002005,4,0,0,0,0,4,0,0,4,20190825,4.0,-87.63009501,41.879755200000005,-87.65260289,41.86186645
