,stop_id,stop_name,stop_lat,stop_lon,starttime,endtime,route_id,route_type
4501,10450,Old Orchard Rd & Skokie Court House,42.06329261,-87.76750151,23400,67020,54A,3
4502,10451,5420 W Old Orchard Rd,42.06247606,-87.7633417,25244,67015,205,3
4503,10451,5420 W Old Orchard Rd,42.06247606,-87.7633417,23443,67079,54A,3
4504,17866,Old Orchard Rd & Woods,42.06247933,-87.76064803,25273,67051,205,3
4505,17866,Old Orchard Rd & Woods,42.06247933,-87.76064803,23472,67120,54A,3
4506,10453,Old Orchard Rd & Edens Sb Entrance Ramp,42.06241411,-87.75785916,25300,67085,205,3
4507,10453,Old Orchard Rd & Edens Sb Entrance Ramp,42.06241411,-87.75785916,23499,67156,54A,3
4508,14696,Old Orchard Rd & Lavergne,42.06243749,-87.75158399,25361,67161,205,3
4509,14696,Old Orchard Rd & Lavergne,42.06243749,-87.75158399,23559,67239,54A,3
4510,3576,Golf Road & Lavergne,42.05521018,-87.75121612,25612,67393,205,3
4511,3576,Golf Road & Lavergne,42.05521018,-87.75121612,23790,67542,54A,3
4512,3576,Golf Road & Lavergne,42.05521018,-87.75121612,23412,53301,97,3
4513,3576,Golf Road & Lavergne,42.05521018,-87.75121612,54531,81140,97,3
4514,3577,Golf Road & Lamon,42.05522333,-87.74867833,25650,67423,205,3
4515,3577,Golf Road & Lamon,42.05522333,-87.74867833,23824,67585,54A,3
4516,3577,Golf Road & Lamon,42.05522333,-87.74867833,23443,53341,97,3
4517,3577,Golf Road & Lamon,42.05522333,-87.74867833,54571,81172,97,3
4518,15410,Golf Road & Skokie Blvd,42.05521154,-87.74666347,25688,67452,205,3
4519,14697,Golf Road & Knox,42.05517909,-87.74461047,25732,67487,205,3
4520,14698,Golf Road & Kenton,42.05517909,-87.74213047,25753,67503,205,3
4521,14250,Golf Road & Gross Point,42.0551827,-87.74023035,25779,67523,205,3
4522,14740,Golf Road & Kenneth,42.05521952,-87.73839272,25809,67546,205,3
4523,14330,Golf Road & Lowell,42.05520502,-87.7360046,25847,67575,205,3
4524,14699,Golf Road & Tripp,42.05518909,-87.73369048,25884,67605,205,3
4525,14700,Golf Road & Kedvale,42.05519909,-87.73112048,25924,67636,205,3
4526,14411,Crawford & Golf Road,42.05551829,-87.72732126,25991,56889,205,3
4527,14412,Crawford & Grant,42.05876282,-87.72731805,26036,56926,205,3
4528,14413,Grant & Ridgeway,42.05883341,-87.72193556,26107,56985,205,3
4529,14414,Grant & Central Park,42.05888868,-87.71782308,26165,57032,205,3
4530,14415,Grant & Ewing,42.05892738,-87.71305421,26233,57088,205,3
4531,14416,Grant & McDaniel,42.05899126,-87.70821599,26320,57160,205,3
4532,14417,Grant & Grey,42.05908662,-87.70211621,26410,57234,205,3
4533,14418,Bridge & McCormick,42.05656209,-87.7019339,26465,57279,205,3
4534,13139,Dodge & Simpson,42.05543475,-87.69897818,26518,57321,205,3
4535,13139,Dodge & Simpson,42.05543475,-87.69897818,23912,66547,206,3
4536,15543,Dodge & Emerson,42.05196692,-87.69898968,26624,68041,205,3
4537,15543,Dodge & Emerson,42.05196692,-87.69898968,23970,66615,206,3
4538,15543,Dodge & Emerson,42.05196692,-87.69898968,20824,78664,93,3
4539,14728,Dodge & Lyons,42.050270000000005,-87.69899000000001,26674,57438,205,3
4540,14728,Dodge & Lyons,42.050270000000005,-87.69899000000001,23997,66647,206,3
4541,12711,Church & Dodge,42.04829746,-87.69867364,26735,68109,205,3
4542,14707,Church & Florence,42.04830361,-87.69510981,26788,68161,205,3
4543,14708,Church & Wesley,42.04842361,-87.69208981,26835,68207,205,3
4544,12679,Church & Asbury,42.048448,-87.690371,26863,68235,205,3
4545,12682,Church & Ridge,42.04844635,-87.68863449999999,26884,68255,205,3
4546,14322,Chicago Avenue & Lake,42.04411832,-87.68051899999999,27113,68531,205,3
4547,14754,Chicago Avenue & Greenwood,42.04270831,-87.68063694,27143,68570,205,3
4548,12644,Chicago Avenue & Dempster (Purple Line),42.04130718,-87.6806809,27172,68610,205,3
4549,14320,Chicago Avenue & Hamilton,42.0394472,-87.68056682,27219,68672,205,3
4550,14318,Chicago Avenue & Greenleaf,42.03760392,-87.68018021,27248,68711,205,3
4551,12703,Chicago Avenue & Main (Purple Line),42.03402607,-87.67944272,27324,68812,205,3
4552,14314,Chicago Avenue & Kedzie,42.03212965,-87.67913052,27352,68842,205,3
4553,12647,Chicago Avenue & South Blvd (Purple Line),42.02742803,-87.67834303,27422,68912,205,3
4554,15807,Chicago & Juneway/Mulford,42.0230205,-87.67731967,27493,68983,205,3
4555,15317,Emerson & Dodge,42.0521747,-87.69954763,23824,67384,205,3
4556,14326,Emerson & Hartrey,42.05205338,-87.70338993,23873,67433,205,3
4557,14710,Emerson & Foster,42.05203819,-87.70592913,23904,67464,205,3
4558,14246,Golf Road & McDaniel,42.05281208,-87.70956109,23953,67513,205,3
4559,14247,Golf Road & Central Park,42.05552451,-87.71751982,24060,67620,205,3
4560,15492,Golf Road & Pres Home Entrance,42.05537944,-87.72340087,24132,67692,205,3
4561,14248,Golf Road & Crawford,42.055334,-87.72737123,24180,67740,205,3
4562,14712,Golf Road & Kedvale,42.05533657,-87.73094090000001,24237,67790,205,3
4563,14713,Golf Road & Tripp,42.05539205,-87.73336925,24274,67822,205,3
4564,14329,Golf Road & Lowell,42.05533799,-87.73584059999999,24312,67855,205,3
4565,14249,Golf Road & Gross Point,42.05533739,-87.73973064,24371,67907,205,3
4566,14695,Golf Road & Kenton,42.05533021,-87.74184027,24404,67936,205,3
4567,15493,Golf Road & Knox,42.05533938,-87.74308211,24432,67960,205,3
4568,3571,Golf Road & Skokie Blvd,42.05542087,-87.74774793,24491,68012,205,3
4569,3571,Golf Road & Skokie Blvd,42.05542087,-87.74774793,23898,66513,54A,3
4570,3571,Golf Road & Skokie Blvd,42.05542087,-87.74774793,23198,83637,97,3
4571,3571,Golf Road & Skokie Blvd,42.05542087,-87.74774793,72239,82137,97,3
4572,3572,Golf Road & Lamon,42.05539146,-87.74949038,24522,68040,205,3
4573,3572,Golf Road & Lamon,42.05539146,-87.74949038,23928,66552,54A,3
4574,3572,Golf Road & Lamon,42.05539146,-87.74949038,23231,83667,97,3
4575,3572,Golf Road & Lamon,42.05539146,-87.74949038,72274,82167,97,3
4576,3573,Golf Road & Lavergne,42.05545286,-87.75129476,24551,68065,205,3
4577,3573,Golf Road & Lavergne,42.05545286,-87.75129476,23956,66587,54A,3
4578,3573,Golf Road & Lavergne,42.05545286,-87.75129476,23262,83694,97,3
4579,3573,Golf Road & Lavergne,42.05545286,-87.75129476,72306,82194,97,3
4580,10446,Old Orchard Rd & Lawler,42.06260128,-87.7525615,24728,68228,205,3
4581,10446,Old Orchard Rd & Lawler,42.06260128,-87.7525615,24145,66788,54A,3
4582,10447,Old Orchard Rd & Lockwood,42.06259424,-87.75877878,24797,68297,205,3
4583,10447,Old Orchard Rd & Lockwood,42.06259424,-87.75877878,24231,66857,54A,3
4584,10448,Old Orchard Rd & Woods,42.06269312,-87.76103866,24819,68319,205,3
4585,10448,Old Orchard Rd & Woods,42.06269312,-87.76103866,24258,66879,54A,3
4586,10449,5420 W Old Orchard Rd,42.0627345,-87.76339355,24846,68346,205,3
4587,10449,5420 W Old Orchard Rd,42.0627345,-87.76339355,24293,66906,54A,3
4588,14251,Golf Road & Crawford,42.05516421,-87.7276296,30987,67678,205,3
4589,14701,Golf Road & Springfield,42.05517523,-87.72522635,31020,67708,205,3
4590,14702,Golf Road & Hamlin,42.05521183,-87.72279171,31051,67737,205,3
4591,14252,Golf Road & Central Park,42.05519292,-87.71787462,31114,67796,205,3
4592,14703,Golf Road & Lincolnwood,42.05511292,-87.71562539,31146,67826,205,3
4593,14704,Golf Road & East Prairie,42.052820000000004,-87.71021,31228,67903,205,3
4594,14705,Emerson & Lemar,42.05193,-87.70621,31284,67954,205,3
4595,14325,Emerson & Hartrey,42.05185906,-87.70363064,31315,67983,205,3
4596,14706,Emerson & Brown,42.05194942,-87.70019070000001,31361,68026,205,3
4597,14094,Paulina & Howard Terminal,42.01776729,-87.67279597,24300,67740,206,3
4598,18304,Lake & Ridge,42.04428917,-87.6888632,24884,32519,206,3
4599,14381,Lake & Wesley,42.04428064,-87.69193056,24922,32565,206,3
4600,14383,Lake & Ashland,42.04429085,-87.69351876,24941,32589,206,3
4601,14385,Lake & Florence,42.04431257,-87.69502998,24960,32613,206,3
4602,14387,Lake & Dewey,42.04429137,-87.69637502,24977,32633,206,3
4603,13134,Lake & Dodge,42.04429214,-87.69885228,25007,32671,206,3
4604,14730,Dodge & Davis,42.04692,-87.69894000000001,27032,67835,206,3
4605,14730,Dodge & Davis,42.04692,-87.69894000000001,19570,77281,93,3
4606,13135,Dodge & Church,42.04822046,-87.69882993,25077,67857,206,3
4607,13135,Dodge & Church,42.04822046,-87.69882993,19591,77304,93,3
4608,14379,Green Bay Rd & Lincoln,42.06221171,-87.6971884,23735,66341,206,3
4609,15117,Green Bay Rd & McCormick Blvd,42.05975284,-87.6952055,23782,66396,206,3
4610,14726,Ashland & Payne Street,42.057109999999994,-87.69424000000001,23831,68139,206,3
4611,13140,Ashland & Simpson,42.0558021,-87.69424766,23851,66477,206,3
4612,14727,Simpson & Darrow,42.055679999999995,-87.69713,23887,66519,206,3
4613,13156,Dodge & Church,42.04845372,-87.69908004,24023,66677,206,3
4614,13156,Dodge & Church,42.04845372,-87.69908004,20876,78720,93,3
4615,14729,Dodge & Evanston Township HS,42.04547559,-87.69915574,24074,66737,206,3
4616,14729,Dodge & Evanston Township HS,42.04547559,-87.69915574,20918,78763,93,3
4617,17911,Dodge & Lake,42.04397241,-87.69921817,24109,66780,206,3
4618,17911,Dodge & Lake,42.04397241,-87.69921817,20948,78796,93,3
4619,14377,Dodge & Greenwood,42.042842900000004,-87.69922715,24119,66792,206,3
4620,14377,Dodge & Greenwood,42.042842900000004,-87.69922715,20957,78805,93,3
4621,18015,Dodge & Dempster,42.04096142,-87.69923754,24157,31126,206,3
4622,18015,Dodge & Dempster,42.04096142,-87.69923754,20991,78841,93,3
4623,14373,Dodge & Crain,42.03931712,-87.69919924,24179,31151,206,3
4624,14373,Dodge & Crain,42.03931712,-87.69919924,21011,78862,93,3
4625,14371,Dodge & Greenleaf,42.03747126,-87.69923858,24212,31188,206,3
4626,14371,Dodge & Greenleaf,42.03747126,-87.69923858,21040,78893,93,3
4627,14369,Dodge & Lee,42.03570362,-87.69927714,24251,31230,206,3
4628,14369,Dodge & Lee,42.03570362,-87.69927714,21075,78930,93,3
4629,12699,Dodge & Main,42.0339723,-87.69943728,24276,31258,206,3
4630,12699,Dodge & Main,42.0339723,-87.69943728,21097,78954,93,3
